Quotazioni Fantacalcio,,,,,,
Id,R,Nome,Squadra,Qt. A,Qt. I,Diff.
2610,A,RONALDO,Juventus,51,48,3
2531,A,LUKAKU,Inter,43,42,1
785,A,IMMOBILE,Lazio,41,49,-8
2530,A,IBRAHIMOVIC,Milan,39,35,4
2819,A,CAPUTO,Sassuolo,34,34,0
441,A,BELOTTI,Torino,34,29,5
2764,A,MARTINEZ L.,Inter,33,30,3
608,A,ZAPATA D.,Atalanta,32,40,-8
1874,A,JOAO PEDRO,Cagliari,32,25,7
26,C,GOMEZ,Atalanta,31,28,3
531,A,BERARDI,Sassuolo,31,27,4
507,A,MURIEL,Atalanta,30,27,3
410,A,MERTENS,Napoli,30,25,5
2529,C,MKHITARYAN,Roma,28,24,4
647,A,DZEKO,Roma,28,31,-3
313,A,MORATA,Juventus,27,24,3
1996,C,DE PAUL,Udinese,25,20,5
2475,A,SANCHEZ,Inter,25,24,1
409,A,INSIGNE,Napoli,25,23,2
2719,A,BARROW,Bologna,24,23,1
2061,A,SIMEONE,Cagliari,24,20,4
4661,A,OSIMHEN,Napoli,24,24,0
568,A,QUAGLIARELLA,Sampdoria,24,20,4
2833,C,KULUSEVSKI,Juventus,23,26,-3
309,A,DYBALA,Juventus,23,31,-8
2160,D,GOSENS,Atalanta,22,24,-2
2625,C,SORIANO,Bologna,21,13,8
2002,C,CHIESA,Juventus,21,23,-2
645,C,MILINKOVIC-SAVIC,Lazio,21,19,2
2215,C,VERETOUT,Roma,21,15,6
186,A,REBIC,Milan,21,27,-6
2489,A,PEDRO,Roma,21,16,5
4292,D,HERNANDEZ T.,Milan,20,21,-1
4377,C,CASTROVILLI,Fiorentina,20,15,5
2085,C,LUIS ALBERTO,Lazio,20,25,-5
2194,C,CALHANOGLU,Milan,20,24,-4
2284,A,CAICEDO,Lazio,20,17,3
4160,D,HAKIMI,Inter,19,20,-1
536,C,POLITANO,Napoli,19,13,6
177,A,ILICIC,Atalanta,19,27,-8
1939,A,LAPADULA,Benevento,19,14,5
2167,A,ORSOLINI,Bologna,18,16,2
495,A,CORREA,Lazio,18,23,-5
4517,A,LOZANO,Napoli,18,11,7
474,A,GERVINHO,Parma,18,14,4
350,P,DONNARUMMA G.,Milan,17,16,1
1850,C,KESSIE',Milan,17,10,7
2172,C,BARAK,Verona,17,11,6
632,C,ZACCAGNI,Verona,17,12,5
4510,A,RAFAEL LEAO,Milan,17,14,3
2012,A,MILIK,Napoli,17,24,-7
2832,A,BOGA,Sassuolo,17,22,-5
2211,P,SILVESTRI,Verona,16,11,5
467,C,NAINGGOLAN,Inter,16,22,-6
1995,C,DJURICIC,Sassuolo,16,14,2
827,C,LOCATELLI,Sassuolo,16,12,4
4825,C,DIAZ B.,Milan,16,13,3
2414,C,VIDAL,Inter,16,19,-3
1997,A,SIMY,Crotone,16,13,3
4324,A,OKAKA,Udinese,16,15,1
392,D,KOULIBALY,Napoli,15,14,1
530,C,PELLEGRINI LO.,Roma,15,15,0
1987,C,JANKTO,Sampdoria,15,11,4
5001,C,MIRANCHUK,Atalanta,15,17,-2
2409,A,RIBERY,Fiorentina,15,18,-3
2130,D,HATEBOER,Atalanta,14,11,3
1852,D,SPINAZZOLA,Roma,14,10,4
4427,C,MALINOVSKYI,Atalanta,14,17,-3
2839,C,SOTTIL,Cagliari,14,8,6
332,C,CANDREVA,Sampdoria,14,7,7
152,C,ZIELINSKI,Napoli,14,12,2
4404,C,THORSBY,Sampdoria,14,8,6
2841,A,VLAHOVIC,Fiorentina,14,18,-4
383,A,PETAGNA,Napoli,14,13,1
1958,A,CAPRARI,Benevento,14,11,3
5292,A,LAMMERS,Atalanta,14,11,3
453,P,SZCZESNY,Juventus,13,17,-4
252,D,BIRAGHI,Fiorentina,13,8,5
2164,D,MILENKOVIC,Fiorentina,13,14,-1
